Ca,Na,Si,K,Mg,F-,Cl-,Br-,SO-,Li,Be,B,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Rb,Sr,Y,Mo,Cd,Sb,Cs,Ba,Pb,pH
6954.368019,26832.43332,81.52855933,4103.157806,107.2247744,16.26,61076.53,177.29,140.88,189.2941257,0.007887038,44.35701505,0.163439804,0.001310046,0.003197431,30.6882439,10.34781674,0.004819453,0.006089344,0.003312072,8.739384075,0.00103129,11.18728878,28.67248452,442.7395256,0.003231296,0.004244826,0.033980189,0.170505556,17.54920565,34.19358036,0.196307529,6.53
1786.436272,38349.69788,41.50297642,4380.931473,0.160446763,0,65293.79,183.23,134.7,201.7018742,0.0001,38.21768012,0.010149828,0.001186176,0.000666218,0.005475869,0.001,0.000143064,0.00025,0.00025,2.622303274,5.00E-06,0.270632326,28.73741566,399.9609313,0.002484893,0.004684796,0.000557496,0.038238497,17.68463316,33.18335305,0.072414072,11.27
7912.217712,29584.81445,78.29196453,4298.273087,112.1909618,7.81,63742.54,178.86,150.31,206.3774491,0.027372936,46.9870929,0.025568103,0.001174687,0.000985245,30.48745898,15.10582217,0.0048988,0.008922821,0.011221731,8.504622241,0.00075936,10.28993127,28.97972633,445.9822572,0.002837868,0.004450746,0.033288443,0.214939057,17.39485181,36.01244926,0.591540778,5.12
4779.323196,35394.61365,0.623903051,4452.912903,0.4245535,0,66522.72,186.69,127.77,210.8952001,0.0001,39.55248793,0.010883815,0.001035902,0.000748973,0.06917853,0.001,0.000342753,0.00025,0.008995319,0.990249308,5.00E-06,0.523980075,29.42476694,435.0526373,0.002683956,0.004140649,0.000745784,0.02432452,17.79703969,34.16792186,0.02256961,10.82
7636.858368,28653.84521,76.70189738,4163.370132,109.6062303,8.13,63440.06,189.5,162.89,196.2818334,0.021229411,45.75452841,0.012855778,0.001122468,0.000773978,30.58388444,5.867416122,0.004723968,0.010615856,0.013854737,8.144954714,0.000759091,8.276839619,28.62055275,442.6649399,0.002709743,0.004491202,0.03372589,0.200004406,17.54729475,36.26254247,0.20202677,5.05
3528.248596,33345.24231,20.49013376,4090.029144,0.435351301,0,61411.04,182.66,133.43,189.7661195,0.002255877,37.02931884,0.01725767,0.001097127,0.000659906,0.005975793,0.001,0.000195887,0.0003,0.00907132,0.281416079,5.00E-06,0.195397508,27.53224995,403.828072,0.002494661,0.004024675,0.000591715,0.027360484,16.8752801,32.61326174,0.005623529,10.78
8057.169342,30817.98096,80.61054349,4434.648132,115.8260345,7.95,66032.16,185.58,155.2,212.0596801,0.019104025,47.94596066,0.009807469,0.001219261,0.000707555,31.20638499,1.709979085,0.004938484,0.007739714,0.00025,8.080657832,0.001024046,7.461245348,29.23964396,458.6285692,0.002750849,0.004257597,0.033813035,0.21039622,17.73306916,36.5055864,0.067169476,5.07
7856.549072,29472.00623,78.33434939,4249.587631,112.3181939,7.55,63757.03,178.7,149.04,207.6738682,0.021412237,47.41307389,0.015394974,0.001198904,0.000786447,30.18002858,5.095778867,0.00475466,0.00635264,0.00025,8.704042868,0.000972017,7.751953244,28.66158344,444.6011729,0.002785527,0.004323579,0.033163438,0.190427354,17.24186434,35.72577412,0.185508102,5.1
7844.909668,29345.38879,79.32238579,4236.791611,112.0105267,7.87,63903.16,180.94,150.69,209.5130008,0.031838723,47.50225398,0.023312014,0.001079924,0.000974726,30.69917942,22.20197068,0.00499038,0.009972262,0.010290109,8.13882491,0.000999794,11.40645604,28.90190171,449.3641826,0.00282606,0.004250485,0.032699399,0.210693052,17.51981037,36.20859091,0.689252125,5.12
7131.040192,27171.97876,72.3002255,3885.715103,102.0320654,7.28,58454.86,163.71,136.37,187.4228537,0.029542482,42.64801133,0.023282168,0.000998589,0.000950759,27.29707938,21.0770434,0.0044956,0.009480738,0.011271765,7.648764509,0.0008706,10.5567332,26.16813414,407.7959961,0.002615679,0.003741991,0.030585343,0.190957882,15.78273941,32.76027987,0.647307882,5.21
7800.843811,28912.28638,78.77859473,4265.977859,110.8933091,7.63,63549.26,178.63,149.3,206.0761464,0.030601041,47.0295361,0.02311345,0.001226185,0.000928454,30.03292625,20.06545744,0.004901677,0.01007524,0.009596029,8.202548495,0.000920132,10.87636942,28.59850536,442.6955292,0.002797954,0.004217991,0.032971895,0.204838006,17.3432209,35.77839725,0.607214018,5.33
7980.091095,29996.99707,81.22608066,4326.050949,114.5442486,7.96,65992.18,187.46,155.84,216.6214946,0.033228195,49.13598365,0.023104522,0.001255051,0.001043096,31.72597847,23.49068596,0.005150051,0.010263639,0.010595152,8.319939854,0.00098061,11.87793772,29.93586292,464.839622,0.002929283,0.004313154,0.034890387,0.216769693,17.97543415,37.36755894,0.703752298,5.57
